Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion
Public Method,"com.beust.jcommander.ParameterDescription.getParameterAnnotation",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.getParameterized",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.handleSubParameters",,,,,,,,27,6,,
Private Method,"com.beust.jcommander.ParameterDescription.init",,,,,,,,36,8,,
Private Method,"com.beust.jcommander.ParameterDescription.initDescription",,,,,,,,11,5,,
Public Method,"com.beust.jcommander.ParameterDescription.isAssigned",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.isDynamicParameter",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.isEmpty",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.isHelp",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.isMultiOption",,,,,,,,5,1,,
Public Method,"com.beust.jcommander.ParameterDescription.isNonOverwritableForced",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.newCollection",,,,,,,,10,5,,
Private Method,"com.beust.jcommander.ParameterDescription.p",,,,,,,,5,2,,
Public Method,"com.beust.jcommander.ParameterDescription.setAssigned",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterDescription.toString",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ParameterDescription.validateDefaultValues",,,,,,,,4,2,,
Public Method,"com.beust.jcommander.ParameterDescription.validateParameter",,,,,,,,19,6,,
Private Method,"com.beust.jcommander.ParameterDescription.validateParameter",,,,,,,,8,3,,
Method,"com.beust.jcommander.ParameterDescription.validateValueParameter",,,,,,,,8,3,,
Public Method,"com.beust.jcommander.ParameterDescription.validateValueParameter",,,,,,,,11,3,,
Public Class,"com.beust.jcommander.ParameterException",1,3,1,6,1,6,6,23,,2,50
Public Constructor,"com.beust.jcommander.ParameterException.ParameterException",,,,,,,,3,1,,
Public Constructor,"com.beust.jcommander.ParameterException.ParameterException",,,,,,,,3,1,,
Public Constructor,"com.beust.jcommander.ParameterException.ParameterException",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterException.getJCommander",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterException.setJCommander",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ParameterException.usage",,,,,,,,5,2,,
Public Class,"com.beust.jcommander.Parameterized",1,25,0,15,5,21,21,242,,1,72
Public Constructor,"com.beust.jcommander.Parameterized.Parameterized",,,,,,,,14,3,,
Private Static Method,"com.beust.jcommander.Parameterized.describeClassTree",,,,,,,,13,4,,
Private Static Method,"com.beust.jcommander.Parameterized.describeClassTree",,,,,,,,8,2,,
Public Method,"com.beust.jcommander.Parameterized.equals",,,,,,,,20,10,,
Private Static Method,"com.beust.jcommander.Parameterized.errorMessage",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.Parameterized.findFieldGenericType",,,,,,,,22,7,,
Public Method,"com.beust.jcommander.Parameterized.get",,,,,,,,27,7,,
Public Method,"com.beust.jcommander.Parameterized.getDelegateAnnotation",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.Parameterized.getGenericType",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.Parameterized.getName",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.Parameterized.getParameter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.Parameterized.getType",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.Parameterized.getWrappedParameter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.Parameterized.hashCode",,,,,,,,7,3,,
Public Method,"com.beust.jcommander.Parameterized.isDynamicParameter",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.Parameterized.isDynamicParameter",,,,,,,,3,1,,
Public Static Method,"com.beust.jcommander.Parameterized.parseArg",,,,,,,,39,10,,
Public Method,"com.beust.jcommander.Parameterized.set",,,,,,,,17,5,,
Private Static Method,"com.beust.jcommander.Parameterized.setFieldAccessible",,,,,,,,8,2,,
Private Static Method,"com.beust.jcommander.Parameterized.setFieldAccessibleWithoutFinalCheck",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.Parameterized.setGetter",,,,,,,,12,3,,
Public Annotation,"com.beust.jcommander.Parameters",0,1,0,6,0,6,6,8,,0,0
Abstract Method,"com.beust.jcommander.Parameters.commandDescription",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameters.commandDescriptionKey",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameters.commandNames",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameters.hidden",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameters.resourceBundle",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.Parameters.separators",,,,,,,,1,0,,
Public Annotation,"com.beust.jcommander.ParametersDelegate",0,0,0,0,0,0,0,2,,0,0
Public Annotation,"com.beust.jcommander.ResourceBundle",0,1,0,1,0,1,1,3,,0,0
Abstract Method,"com.beust.jcommander.ResourceBundle.value",,,,,,,,1,0,,
Public Class,"com.beust.jcommander.StringKey",2,2,0,5,1,5,5,37,,1,0
Public Constructor,"com.beust.jcommander.StringKey.StringKey",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.StringKey.equals",,,,,,,,15,7,,
Public Method,"com.beust.jcommander.StringKey.getName",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.StringKey.hashCode",,,,,,,,6,2,,
Public Method,"com.beust.jcommander.StringKey.toString",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.Strings",1,3,0,0,0,4,4,30,,1,0
Public Static Method,"com.beust.jcommander.Strings.isStringEmpty",,,,,,,,3,1,,
Public Static Method,"com.beust.jcommander.Strings.join",,,,,,,,9,3,,
Public Static Method,"com.beust.jcommander.Strings.join",,,,,,,,9,3,,
Public Static Method,"com.beust.jcommander.Strings.startsWith",,,,,,,,7,2,,
Public Annotation,"com.beust.jcommander.SubParameter",0,0,0,1,0,1,1,3,,0,0
Abstract Method,"com.beust.jcommander.SubParameter.order",,,,,,,,1,0,,
Public Class,"com.beust.jcommander.UnixStyleUsageFormatter",1,11,0,2,0,2,17,50,,2,0
Public Constructor,"com.beust.jcommander.UnixStyleUsageFormatter.UnixStyleUsageFormatter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.UnixStyleUsageFormatter.appendAllParametersDetails",,,,,,,,45,16,,
Public Class,"com.beust.jcommander.WrappedParameter",1,11,0,21,2,21,21,96,,1,40
Public Constructor,"com.beust.jcommander.WrappedParameter.WrappedParameter",,,,,,,,3,1,,
Public Constructor,"com.beust.jcommander.WrappedParameter.WrappedParameter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.addValue",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.WrappedParameter.addValue",,,,,,,,20,4,,
Public Method,"com.beust.jcommander.WrappedParameter.arity",,,,,,,,3,2,,
Private Method,"com.beust.jcommander.WrappedParameter.callPut",,,,,,,,9,2,,
Public Method,"com.beust.jcommander.WrappedParameter.echoInput",,,,,,,,3,2,,
Private Method,"com.beust.jcommander.WrappedParameter.findPut",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.getAssignment",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.getDynamicParameter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.getParameter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.hidden",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.isHelp",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.isNonOverwritableForced",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.WrappedParameter.names",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.order",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.password",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.required",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.validateValueWith",,,,,,,,5,2,,
Public Method,"com.beust.jcommander.WrappedParameter.validateWith",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.WrappedParameter.variableArity",,,,,,,,3,2,,
Package,"com.beust.jcommander.converters",,,,34,5,35,,280,,,
Public Abstract Generic Class,"com.beust.jcommander.converters.BaseConverter",2,1,10,3,1,3,3,12,,1,33
Public Constructor,"com.beust.jcommander.converters.BaseConverter.BaseConverter",,,,,,,,3,1,,
TypeVariable,"com.beust.jcommander.converters.BaseConverter.T",1,0,0,0,0,0,0,0,,1,0
Protected Method,"com.beust.jcommander.converters.BaseConverter.getErrorString",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.converters.BaseConverter.getOptionName",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.converters.BigDecimalConverter",1,4,0,2,0,2,5,12,,2,0
Public Constructor,"com.beust.jcommander.converters.BigDecimalConverter.BigDecimalConverter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.converters.BigDecimalConverter.convert",,,,,,,,7,2,,
Public Class,"com.beust.jcommander.converters.BooleanConverter",1,3,0,2,0,2,5,12,,2,0
Public Constructor,"com.beust.jcommander.converters.BooleanConverter.BooleanConverter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.converters.BooleanConverter.convert",,,,,,,,7,2,,
Public Class,"com.beust.jcommander.converters.CharArrayConverter",2,1,0,1,0,1,1,4,,1,0
Public Method,"com.beust.jcommander.converters.CharArrayConverter.convert",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.converters.CommaParameterSplitter",2,3,0,1,0,1,1,5,,1,0
Public Method,"com.beust.jcommander.converters.CommaParameterSplitter.split",,,,,,,,3,1,,
Public Generic Class,"com.beust.jcommander.converters.DefaultListConverter",2,5,0,2,2,2,2,16,,1,0
Public Constructor,"com.beust.jcommander.converters.DefaultListConverter.DefaultListConverter",,,,,,,,4,1,,
TypeVariable,"com.beust.jcommander.converters.DefaultListConverter.T",1,0,0,0,0,0,0,0,,1,0
Public Method,"com.beust.jcommander.converters.DefaultListConverter.convert",,,,,,,,7,2,,
Public Class,"com.beust.jcommander.converters.DoubleConverter",1,4,0,2,0,2,5,12,,2,0
Public Constructor,"com.beust.jcommander.converters.DoubleConverter.DoubleConverter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.converters.DoubleConverter.convert",,,,,,,,7,2,,
